Datetime,CO,NO,NO2,O3,SO2,PM2_5,PM10,NH3,AQI,Date,Time
2022-08-31 19:00:00,487.33,0.0,6.43,42.56,3.19,6.46,13.92,3.26,1,2022-08-31,19:00:00
2022-08-31 20:00:00,480.65,0.0,5.83,42.2,3.31,7.14,15.32,3.45,1,2022-08-31,20:00:00
2022-08-31 21:00:00,460.62,0.0,5.27,41.13,3.28,7.38,16.14,3.45,1,2022-08-31,21:00:00
2022-08-31 22:00:00,453.95,0.0,5.4,39.7,3.43,7.78,16.83,3.61,1,2022-08-31,22:00:00
2022-08-31 23:00:00,447.27,0.0,5.48,38.27,3.43,7.51,16.22,3.51,1,2022-08-31,23:00:00
2022-09-01 00:00:00,413.89,0.0,4.97,37.91,3.16,6.43,14.36,3.1,1,2022-09-01,00:00:00
2022-09-01 01:00:00,393.87,0.0,4.2,37.91,3.13,6.2,13.16,2.88,1,2022-09-01,01:00:00
2022-09-01 02:00:00,390.53,0.0,4.03,37.91,3.37,6.5,12.77,2.98,1,2022-09-01,02:00:00
2022-09-01 03:00:00,407.22,0.0,4.2,37.91,3.7,6.78,12.84,3.29,1,2022-09-01,03:00:00
2022-09-01 04:00:00,433.92,0.0,4.63,37.19,4.05,7.07,13.74,3.86,1,2022-09-01,04:00:00
2022-09-01 05:00:00,467.3,0.0,5.27,36.12,4.35,7.57,15.2,4.31,1,2022-09-01,05:00:00
2022-09-01 06:00:00,514.03,0.0,6.34,34.69,4.83,8.53,16.85,4.88,1,2022-09-01,06:00:00
2022-09-01 07:00:00,634.19,0.02,10.02,31.47,5.9,11.51,20.46,6.02,2,2022-09-01,07:00:00
2022-09-01 08:00:00,727.65,0.2,12.68,29.68,6.5,12.88,21.87,6.52,2,2022-09-01,08:00:00
2022-09-01 09:00:00,694.27,0.33,10.8,35.41,6.32,11.29,19.39,6.46,2,2022-09-01,09:00:00
2022-09-01 10:00:00,547.41,0.31,6.6,45.78,4.47,7.76,12.96,4.56,1,2022-09-01,10:00:00
2022-09-01 11:00:00,507.35,0.3,5.4,49.35,3.87,6.66,11.1,3.89,1,2022-09-01,11:00:00
2022-09-01 12:00:00,480.65,0.28,4.8,49.35,3.49,6.02,10.13,3.45,1,2022-09-01,12:00:00
2022-09-01 13:00:00,467.3,0.28,4.37,48.64,3.1,5.71,9.81,3.17,1,2022-09-01,13:00:00
2022-09-01 14:00:00,473.98,0.3,4.71,47.92,3.28,5.93,10.44,3.45,1,2022-09-01,14:00:00
2022-09-01 15:00:00,494.0,0.29,5.18,45.78,3.49,6.11,10.89,3.64,1,2022-09-01,15:00:00
2022-09-01 16:00:00,534.06,0.3,6.17,43.63,4.05,6.71,12.7,4.31,1,2022-09-01,16:00:00
2022-09-01 17:00:00,580.79,0.27,7.97,40.77,4.41,7.44,14.41,4.62,1,2022-09-01,17:00:00
2022-09-01 18:00:00,614.17,0.09,9.51,37.55,4.47,8.0,15.31,4.69,1,2022-09-01,18:00:00
2022-09-01 19:00:00,640.87,0.0,9.94,35.76,4.77,9.19,17.2,5.13,1,2022-09-01,19:00:00
2022-09-01 20:00:00,674.25,0.0,9.94,34.69,5.25,10.85,20.18,5.83,2,2022-09-01,20:00:00
2022-09-01 21:00:00,694.27,0.0,9.6,33.97,5.48,12.1,23.01,6.21,2,2022-09-01,21:00:00
2022-09-01 22:00:00,720.98,0.0,9.94,32.9,5.9,13.14,25.34,6.71,2,2022-09-01,22:00:00
2022-09-01 23:00:00,700.95,0.0,9.51,32.54,5.9,12.16,24.37,6.46,2,2022-09-01,23:00:00
2022-09-02 00:00:00,640.87,0.0,8.23,33.26,5.36,9.55,20.91,5.64,2,2022-09-02,00:00:00
2022-09-02 01:00:00,574.11,0.0,6.6,33.97,4.77,8.0,18.68,5.0,1,2022-09-02,01:00:00
2022-09-02 02:00:00,554.08,0.0,6.08,33.26,4.65,8.08,18.96,4.88,1,2022-09-02,02:00:00
2022-09-02 03:00:00,560.76,0.0,6.25,32.54,5.01,9.02,20.11,5.13,2,2022-09-02,03:00:00
2022-09-02 04:00:00,607.49,0.0,7.97,27.89,5.25,11.52,23.41,4.94,2,2022-09-02,04:00:00
2022-09-02 05:00:00,667.57,0.03,10.37,20.92,5.36,14.56,27.69,4.88,2,2022-09-02,05:00:00
2022-09-02 06:00:00,754.36,0.19,13.19,14.13,5.78,18.27,33.2,5.51,2,2022-09-02,06:00:00
2022-09-02 07:00:00,1014.71,2.46,19.02,5.81,7.57,27.45,44.91,7.35,4,2022-09-02,07:00:00
2022-09-02 08:00:00,1308.44,8.27,20.73,7.96,9.06,35.81,55.45,8.04,4,2022-09-02,08:00:00
2022-09-02 09:00:00,1321.79,5.92,21.93,26.46,9.54,36.4,56.1,8.49,4,2022-09-02,09:00:00
2022-09-02 10:00:00,660.9,0.89,7.45,60.8,6.62,14.39,24.38,5.64,2,2022-09-02,10:00:00
2022-09-02 11:00:00,560.76,0.62,5.48,62.94,5.36,11.41,18.88,4.75,2,2022-09-02,11:00:00
2022-09-02 12:00:00,520.71,0.54,4.88,60.8,4.77,9.87,16.39,4.37,1,2022-09-02,12:00:00
2022-09-02 13:00:00,514.03,0.5,4.8,57.22,4.35,8.77,14.94,4.24,1,2022-09-02,13:00:00
2022-09-02 14:00:00,520.71,0.51,5.27,55.07,4.47,8.18,14.51,4.5,1,2022-09-02,14:00:00
2022-09-02 15:00:00,527.38,0.48,5.74,52.21,4.53,7.68,14.18,4.56,1,2022-09-02,15:00:00
2022-09-02 16:00:00,547.41,0.53,6.25,48.64,4.53,7.61,15.02,4.75,1,2022-09-02,16:00:00
